County_state,POP_2019,county,state,fips
"Autauga County, Alabama",55869,Autauga,Alabama,01001
"Baldwin County, Alabama",223234,Baldwin,Alabama,01003
"Barbour County, Alabama",24686,Barbour,Alabama,01005
"Bibb County, Alabama",22394,Bibb,Alabama,01007
"Blount County, Alabama",57826,Blount,Alabama,01009
"Bullock County, Alabama",10101,Bullock,Alabama,01011
"Butler County, Alabama",19448,Butler,Alabama,01013
"Calhoun County, Alabama",113605,Calhoun,Alabama,01015
"Chambers County, Alabama",33254,Chambers,Alabama,01017
"Cherokee County, Alabama",26196,Cherokee,Alabama,01019
"Chilton County, Alabama",44428,Chilton,Alabama,01021
"Choctaw County, Alabama",12589,Choctaw,Alabama,01023
"Clarke County, Alabama",23622,Clarke,Alabama,01025
"Clay County, Alabama",13235,Clay,Alabama,01027
"Cleburne County, Alabama",14910,Cleburne,Alabama,01029
"Coffee County, Alabama",52342,Coffee,Alabama,01031
"Colbert County, Alabama",55241,Colbert,Alabama,01033
"Conecuh County, Alabama",12067,Conecuh,Alabama,01035
"Coosa County, Alabama",10663,Coosa,Alabama,01037
"Covington County, Alabama",37049,Covington,Alabama,01039
"Crenshaw County, Alabama",13772,Crenshaw,Alabama,01041
"Cullman County, Alabama",83768,Cullman,Alabama,01043
"Dale County, Alabama",49172,Dale,Alabama,01045
"Dallas County, Alabama",37196,Dallas,Alabama,01047
"DeKalb County, Alabama",71513,DeKalb,Alabama,01049
"Elmore County, Alabama",81209,Elmore,Alabama,01051
"Escambia County, Alabama",36633,Escambia,Alabama,01053
"Etowah County, Alabama",102268,Etowah,Alabama,01055
"Fayette County, Alabama",16302,Fayette,Alabama,01057
"Franklin County, Alabama",31362,Franklin,Alabama,01059
"Geneva County, Alabama",26271,Geneva,Alabama,01061
"Greene County, Alabama",8111,Greene,Alabama,01063
"Hale County, Alabama",14651,Hale,Alabama,01065
"Henry County, Alabama",17205,Henry,Alabama,01067
"Houston County, Alabama",105882,Houston,Alabama,01069
"Jackson County, Alabama",51626,Jackson,Alabama,01071
"Jefferson County, Alabama",658573,Jefferson,Alabama,01073
"Lamar County, Alabama",13805,Lamar,Alabama,01075
"Lauderdale County, Alabama",92729,Lauderdale,Alabama,01077
"Lawrence County, Alabama",32924,Lawrence,Alabama,01079
"Lee County, Alabama",164542,Lee,Alabama,01081
"Limestone County, Alabama",98915,Limestone,Alabama,01083
"Lowndes County, Alabama",9726,Lowndes,Alabama,01085
"Macon County, Alabama",18068,Macon,Alabama,01087
"Madison County, Alabama",372909,Madison,Alabama,01089
"Marengo County, Alabama",18863,Marengo,Alabama,01091
"Marion County, Alabama",29709,Marion,Alabama,01093
"Marshall County, Alabama",96774,Marshall,Alabama,01095
"Mobile County, Alabama",413210,Mobile,Alabama,01097
"Monroe County, Alabama",20733,Monroe,Alabama,01099
"Montgomery County, Alabama",226486,Montgomery,Alabama,01101
"Morgan County, Alabama",119679,Morgan,Alabama,01103
"Perry County, Alabama",8923,Perry,Alabama,01105
"Pickens County, Alabama",19930,Pickens,Alabama,01107
"Pike County, Alabama",33114,Pike,Alabama,01109
"Randolph County, Alabama",22722,Randolph,Alabama,01111
"Russell County, Alabama",57961,Russell,Alabama,01113
"St. Clair County, Alabama",89512,St Clair,Alabama,01115
"Shelby County, Alabama",217702,Shelby,Alabama,01117
"Sumter County, Alabama",12427,Sumter,Alabama,01119
"Talladega County, Alabama",79978,Talladega,Alabama,01121
"Tallapoosa County, Alabama",40367,Tallapoosa,Alabama,01123
"Tuscaloosa County, Alabama",209355,Tuscaloosa,Alabama,01125
"Walker County, Alabama",63521,Walker,Alabama,01127
"Washington County, Alabama",16326,Washington,Alabama,01129
"Wilcox County, Alabama",10373,Wilcox,Alabama,01131
"Winston County, Alabama",23629,Winston,Alabama,01133
"Aleutians East Borough, Alaska",3337,Aleutians East,Alaska,02013
"Aleutians West Census Area, Alaska",5634,Aleutians West,Alaska,02016
"Anchorage Municipality, Alaska",288000,Anchorage,Alaska,02020
"Bethel Census Area, Alaska",18386,Bethel,Alaska,02050
"Bristol Bay Borough, Alaska",836,Bristol Bay,Alaska,02060
"Denali Borough, Alaska",2097,Denali,Alaska,02068
"Dillingham Census Area, Alaska",4916,Dillingham,Alaska,02070
"Fairbanks North Star Borough, Alaska",96849,Fairbanks North Star,Alaska,02090
"Haines Borough, Alaska",2530,Haines,Alaska,02100
"Hoonah-Angoon Census Area, Alaska",2148,Hoonah-Angoon,Alaska,02105
"Juneau City and Borough, Alaska",31974,Juneau,Alaska,02110
"Kenai Peninsula Borough, Alaska",58708,Kenai Peninsula,Alaska,02122
"Ketchikan Gateway Borough, Alaska",13901,Ketchikan Gateway,Alaska,02130
"Kodiak Island Borough, Alaska",12998,Kodiak Island,Alaska,02150
"Kusilvak Census Area, Alaska",8314,Kusilvak,Alaska,02158
"Lake and Peninsula Borough, Alaska",1592,Lake and Peninsula,Alaska,02164
"Matanuska-Susitna Borough, Alaska",108317,Matanuska-Susitna,Alaska,02170
"Nome Census Area, Alaska",10004,Nome,Alaska,02180
"North Slope Borough, Alaska",9832,North Slope,Alaska,02185
"Northwest Arctic Borough, Alaska",7621,Northwest Arctic,Alaska,02188
"Petersburg Borough, Alaska",3266,Petersburg,Alaska,02195
"Prince of Wales-Hyder Census Area, Alaska",6203,Prince of Wales-Hyder,Alaska,02198
"Sitka City and Borough, Alaska",8493,Sitka,Alaska,02220
